lane,dataset,source,tokens_b,samples_m,license,tier,langs,overlap_frac,keep_frac,confidence,notes
agentic,ToolACE / APIGen-MT-5k / When2Call / BUTTONInstruct,https://arxiv.org/abs/2409.00920,0.08,0.039,Apache-2.0 (mixed),B,en,0.10,1.00,med,Short samples - large sample count but small token mass; the sample-vs-token trap in one row
agentic,V5 self-generated execution-verified trajectories (PLANNED),internal,13.0,1.5,internal,A,code+en+indic,0.00,1.00,planned,Must be BUILT: ~1.5M rollouts x ~9k tok in containerised repos with tests as the verifier
indic,Sangraha Verified (Indic only),https://huggingface.co/datasets/ai4bharat/sangraha,51.5,,CC-BY-4.0,A,22 Indic,0.00,1.00,high,64.3B verified total minus 12.8B eng; human-verified sites + OCR + transcription
indic,Sangraha Unverified,https://huggingface.co/datasets/ai4bharat/sangraha,24.3,,CC-BY-4.0,B,22 Indic,0.00,0.90,high,Perplexity-filtered from multilingual corpora using n-gram LMs trained on Verified
indic,Sangraha Synthetic (translated + romanised),https://huggingface.co/datasets/ai4bharat/sangraha,162.7,,CC-BY-4.0,C,14 Indic,0.00,0.85,high,WikiMedia EN translated into 14 languages + romanised transliterations
indic,IndicCorp v2,https://arxiv.org/abs/2212.05409,20.9,,CC0/CC-BY,B,24 Indic,0.60,0.90,med,Large overlap with Sangraha Unverified sources
indic,IndicAlign (IndicAlign-Instruct + Toxic + Anudesh),https://arxiv.org/abs/2403.06350,22.0,74.7,CC-BY-4.0,B/C,14 Indic,0.15,0.85,low,74.7M prompt-response pairs; token estimate ~300 tok/pair; mixed human (Anudesh) and translated
indic,Wikipedia Indic + Varta + curated news,https://huggingface.co/datasets/wikimedia/wikipedia,3.0,,CC-BY-SA / research,A,22 Indic,0.35,1.00,med,Tier A native text; partly inside Sangraha Verified
indic,TSAI S4 cleaned shard (tel+eng),./session4_data_cleaning_dedup,0.050,0.051,CC-BY-4.0,A,tel+eng,1.00,1.00,high,50867 docs / 15.4M words = 50.0M tokens MEASURED with our own S2 tokenizer; a documented subset of Sangraha verified/tel so it adds provenance not new tokens
indic,V5 self-generated Indic (PLANNED),internal,72.0,,internal,C,10 Indic,0.00,1.00,planned,Instruction + reasoning + agentic + textbook-style generation and back-translation
longctx,arXiv full papers (RedPajama),https://huggingface.co/datasets/togethercomputer/RedPajama-Data-1T,28,,arXiv non-exclusive,B,en,0.40,1.00,med,Long native documents; overlaps Proof-Pile-2 arXiv
longctx,PG-19 / public-domain books,https://huggingface.co/datasets/deepmind/pg19,2,,public domain,A,en,0.00,1.00,high,Books3 deliberately EXCLUDED - unresolved licensing
longctx,Repo-level packing view of The Stack v2,https://arxiv.org/abs/2402.19173,120,,permissive,B,code,1.00,1.00,med,A packing VIEW of the code lane not new tokens; repo-context ordering
longctx,Long-document view of web+math lanes (>=8k tok),derived,300,,as parent lane,B,en+mul,1.00,1.00,med,A view not new supply; long-context supply is a length-distribution question
longctx,V5 synthetic long-context tasks (PLANNED),internal,20,,internal,C,en+indic,0.00,1.00,planned,Multi-doc QA + repo-level tasks + needle/aggregation over our own shards
instruct,Tulu-3 SFT mixture,https://arxiv.org/abs/2411.15124,1.5,0.94,ODC-By,B,en,0.00,1.00,high,Post-training mixture used here only as instruction-format exposure
instruct,OpenHermes-2.5,https://huggingface.co/datasets/teknium/OpenHermes-2.5,0.8,1.0,mixed,C,en,0.20,0.70,med,Mixed provenance; keep out of anneal
instruct,Nemotron post-training chat/safety subset,https://huggingface.co/datasets/nvidia/Llama-Nemotron-Post-Training-Dataset,3.0,,NVIDIA open,B,en,0.30,0.80,low,Chat + safety slices of the 3.9M-sample release
instruct,FLAN-style templated NLP tasks,https://arxiv.org/abs/2301.13688,3.0,,Apache-2.0,B,en+mul,0.10,0.70,med,Cheap breadth; low marginal value late in the run
instruct,V5 synthetic instruction (PLANNED),internal,18.0,,internal,C,en+indic,0.00,1.00,planned,Lowest-risk lane to cut if generation slips - SFT re-teaches this
